CTAC,NAC,CTLESS_CZT,CTLESS_NaI,LABEL
-2.64463684168288,-1.00208225490038,-2.62067461735364,-2.49715335506721,0
-2.53296274654426,-1.14170083019349,-2.42734582458776,-2.36735431127686,0
-2.33576727264413,-0.918959246622537,-2.59704550089643,-2.54122715622345,0
-2.44796264226206,-0.870720698117159,-2.5638597829559,-2.48772511518851,0
-3.0537049523188,-1.28997088930432,-2.57279623812424,-2.46916423804745,0
-2.48021813496142,-1.23279341017221,-2.57084665754699,-2.50889719001645,0
-2.69488988738634,-0.911021747898151,-3.07613139901573,-2.88178699490952,0
-3.09245214557948,-1.27937328719019,-2.84357154248909,-2.75905526014223,0
-1.61065072891757,-0.594858206683542,-1.47723151753121,-1.44791141991407,0
-2.47753927559551,-1.83611528384956,-2.7891221857597,-2.66820826782727,0
-2.72160632543838,-3.0091618180169,-2.37411031630978,-2.3564222896465,0
-3.25530984808912,-1.50070429799324,-3.25036593443532,-3.13380638165954,0
-2.5788232367014,-1.08719996869375,-2.27695650694348,-2.18285442099852,0
-2.89682667299512,-1.86678358846725,-2.3957695516371,-2.32982765843596,0
-2.47097328819266,-1.54000711929888,-2.39767452110826,-2.30883029242936,0
-2.34341143250127,-0.817105024269242,-2.05057997978576,-1.98118031348193,0
-2.15623701788521,-0.760251159130822,-1.7984955567029,-1.72977113797963,0
-1.86263683109564,-0.559837881700513,-1.63335077328584,-1.63481987580619,0
-1.55111052015626,-0.650048264527931,-1.49975607386465,-1.5163119562071,0
-1.22232527410059,-0.382982126070233,-0.882160835259524,-0.883205860885687,0
-1.58313714223508,-0.7406989579785,-1.99606254217405,-1.8905058533959,0
-3.50646607533623,-3.21055147296186,-3.36152012411849,-3.31281141058044,0
-3.06843098635992,-1.13675888520388,-2.93894104450936,-2.88665194080959,0
-1.36976574581792,-0.435714053399669,-1.84193440027518,-1.73381166107663,0
-2.14901042693413,-1.0138226449246,-2.32055473736606,-2.2175865931116,0
-0.831748718142125,-0.377330160580278,-0.400742673021982,-0.396304161412463,0
-2.9234495965133,-1.03010142120352,-2.57203502694396,-2.44067153717837,0
-2.01699494806638,-0.757722812693604,-2.51482515698321,-2.39587614065701,0
-3.28789523723499,-0.86637009962586,-3.34825713976602,-3.33036235397726,0
-1.65247137356112,-1.07934032125447,-1.81166383940077,-1.82988452417164,0
-2.4546226751973,-0.713741299761036,-2.38082218892784,-2.29668034083467,0
-2.72787090957481,-1.3436386246297,-2.08983675247801,-2.03092521625228,0
-3.5084685213195,-1.32965398299743,-3.16863005225739,-3.04803569448143,0
-2.21049090138071,-1.47645779662725,-2.75853477148793,-2.63800007183401,0
-2.00468163267317,-0.727392855328879,-1.63677341532284,-1.57466101173619,0
-1.86729684860317,-3.05670103886593,-2.06031778602656,-2.03812986544925,0
-3.17376489887948,-2.13084315044624,-3.24501378288515,-2.95659686002937,0
-2.91284136840684,-4.33728921434205,-2.58191542524787,-2.56141756996182,0
-2.83699094173259,-2.14132440658428,-3.03306956236709,-2.57252722969679,0
-2.33689679577241,-0.78108402745573,-2.04426680083717,-2.04812777173631,0
-2.7783610108147,-2.33985703072124,-2.16601604301186,-2.11694952309887,0
-3.06408970588599,-1.9088644415485,-3.19887915859311,-3.73326693660494,0
-2.2406961094779,-1.73899144664672,-2.22321561236391,-2.86860655794223,0
-2.18193692812294,-1.48725049982391,-2.11214255585984,-1.85850887400812,0
-2.09331374772306,-1.05609794959095,-2.08966264134812,-2.16777560339628,0
-2.2847633464144,-2.13534432201945,-2.01837714332968,-1.7588691317471,0
-2.16360816899404,-1.14350625961524,-2.26345553986739,-2.58368319943129,0
-2.18248503532777,-0.571675489856224,-2.10264056565933,-2.05816855642889,0
-0.906780290312019,-0.187983566588912,-0.623582316915412,-0.666722433956954,0
-2.24226409153838,-1.62662716878505,-2.27432388188025,-1.8307686062156,0
-2.64228503648161,-1.13861579746997,-2.56586476041933,-2.397266697272,0
-3.32446589245487,-1.91953801873699,-3.48532793700281,-2.9655591067839,0
-2.3851169835464,-0.815098381339841,-1.94139544679064,-2.21674381712705,0
-2.52215677996551,-0.805946994771588,-2.41790831876161,-2.0750835948247,0
-1.11649056859741,-0.426323126028137,-1.00564068809696,-0.962259819142688,0
-2.84839067385167,-2.14159255539181,-2.79133978385385,-2.64502839894788,0
-3.77820505168012,-0.970788941550321,-3.51275005546393,-3.37846528965803,0
-2.50766202495546,-2.01392683354828,-2.8577936341603,-2.77589383206299,0
-2.08211384909342,-1.86696666398899,-1.84553564224482,-1.86647868532175,0
-1.22678579850235,-0.495412253309652,-1.3856770500554,-1.29803755914885,0
-2.32597336764078,-1.37477463048817,-2.45545246487821,-2.35104911072742,0
-2.35994055542083,-1.0403853253545,-2.55905111947353,-2.43666443058187,0
-3.13076293941969,-2.19145887773932,-2.90376655147664,-2.86839252118522,0
-3.00394797651996,-1.72384645455252,-2.93924983255213,-2.69380334116141,0
-1.59811453475037,-1.79266574737841,-1.4953893931617,-1.47051387546443,0
-2.3215125374086,-0.800692738381241,-2.22512280342366,-2.10304347799257,0
-3.24991912659395,-1.29424517515588,-3.59306226849153,-3.39620373666929,0
-2.60557500663283,-1.25153766440809,-2.67149913250783,-2.55191958440807,0
-1.95290165764489,-1.33865753948949,-2.15981784575405,-2.08977221181889,0
-2.45094357458179,-0.86215178520238,-2.22769941478708,-2.15075251997617,0
-3.00199763928489,-1.41916967302669,-3.17691966920393,-3.0367880206446,0
-3.25195397614643,-2.12230867732004,-2.92360906473004,-2.8199550498113,0
