CTAC,NAC,CTLESS_CZT,CTLESS_NaI,LABEL
-3.32751812578474,-1.27546144247811,-2.7187677084664,-2.42112192741019,0
-3.08746540865418,-0.711477361874156,-2.82899632192647,-2.59067125214964,0
-2.58824504374621,-1.42521184136675,-2.41003395092867,-2.23896210182751,0
-2.15045297914501,-1.52087020380406,-2.08421777047039,-1.21319557164538,0
-2.33777622862883,-0.890266386610196,-2.14712119545045,-1.32719792320898,0
-2.05048725472875,-1.20841905148612,-1.33941707589271,-1.32783156736473,0
-2.83283028199316,-1.99144930215641,-2.71659649472625,-2.32503092345458,0
-2.42760355359579,-1.94717495724412,-2.50930896648816,-1.48904064446183,0
-2.91348072420554,-1.6926619848667,-2.89114595343584,-2.25462663214284,0
-3.27686606812079,-3.45725072458544,-2.92901856422306,-2.87517237239796,0
-2.61264116661854,-3.91574728072017,-2.17086014738921,-2.33689175854205,0
-2.37817077679031,-1.87030952441292,-1.52114795893648,-2.37173008247485,0
-2.99207063402707,-1.52531251053154,-2.57055234579474,-2.12886339242653,0
-3.48387785370844,-3.24284912541875,-3.24583892831106,-3.15940911142596,0
-2.93118151798419,-2.49260838796566,-2.39964281904268,-2.48342089541107,0
-3.52646785660025,-2.451996731255,-3.19440058759989,-3.11459760282615,0
-2.39944489885642,-1.27429396789639,-2.48653873449743,-1.65576802497225,0
-2.27408821195272,-1.25421983722328,-2.0826498579838,-1.66271848436347,0
-2.58121346404745,-1.35354811162898,-2.0678867029786,-1.88277290848749,0
-2.60379790504511,-2.12628480728253,-1.65447616186432,-1.73344322954572,0
-2.38794161325754,-0.726776185411222,-1.56090986042996,-1.95185711747965,0
-2.77256187206404,-1.30702914322017,-1.87921335176707,-1.89632341367783,0
-2.06153230623779,-1.7172512353691,-1.23479195407288,-2.01155408502298,0
-1.89589692999627,-1.01288719275627,-1.71557862625711,-1.30611514636979,0
-3.57926245149425,-1.63588045768593,-2.94579211591518,-2.83188903644873,0
-2.23533160190335,-0.781020816696074,-2.20244801739502,-1.88347275574334,0
-2.35480394269846,-0.94651467321229,-2.26605879694563,-1.57336844855336,0
-1.0035236216452,-0.51421668746132,-0.968363851741873,-0.681297065658965,0
-1.83413263314059,-2.30822878317,-1.82007090148963,-1.85863342866433,0
-3.20803189352891,-1.50238006417536,-3.00520989262332,-2.7921286557838,0
-3.10758359558726,-0.876911964609002,-2.59377884747706,-2.31501155230091,0
-2.93254491765331,-1.69970605896149,-2.24857065540367,-2.11417149905668,0
-0.550126370203552,0.145391102809735,-0.482623743089584,-0.0868704034801979,0
